instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_seconds_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,result_walksat,runtime_seconds_walksat,ratio_dpll,ratio_walksat,var_diff,clause_diff,var_ratio,clause_ratio,vars_times_clauses_dpll,clause_density_dpll,vars_times_clauses_walksat,clause_density_walksat,is_sudoku,is_random3sat,best_solver_actual
random3sat_bulk19.cnf,DPLL,100.0,400.0,0.003,SAT,WalkSAT_Optimized,100.0,400.0,UNSAT,0.3122,3.9999999600000007,3.9999999600000007,0.0,0.0,0.9999999900000002,0.9999999975,40000.0,3.9999999600000007,40000.0,3.9999999600000007,0,1,0
random3sat_bulk20.cnf,DPLL,60.0,300.0,0.0015,UNSAT,WalkSAT_Optimized,60.0,300.0,UNSAT,0.344,4.999999916666669,4.999999916666669,0.0,0.0,0.9999999833333336,0.9999999966666667,18000.0,4.999999916666669,18000.0,4.999999916666669,0,1,0
random3sat_bulk21.cnf,DPLL,90.0,400.0,0.0025,UNSAT,WalkSAT_Optimized,90.0,400.0,UNSAT,0.2987,4.444444395061729,4.444444395061729,0.0,0.0,0.9999999888888891,0.9999999975,36000.0,4.444444395061729,36000.0,4.444444395061729,0,1,0
random3sat_bulk23.cnf,DPLL,60.0,300.0,0.0,UNSAT,WalkSAT_Optimized,60.0,300.0,UNSAT,0.38,4.999999916666669,4.999999916666669,0.0,0.0,0.9999999833333336,0.9999999966666667,18000.0,4.999999916666669,18000.0,4.999999916666669,0,1,0
random3sat_bulk22.cnf,DPLL,100.0,400.0,0.0054,SAT,WalkSAT_Optimized,100.0,400.0,SAT,0.0204,3.9999999600000007,3.9999999600000007,0.0,0.0,0.9999999900000002,0.9999999975,40000.0,3.9999999600000007,40000.0,3.9999999600000007,0,1,0
random3sat_bulk24.cnf,DPLL,70.0,350.0,0.0044,UNSAT,WalkSAT_Optimized,70.0,350.0,UNSAT,0.3736,4.999999928571429,4.999999928571429,0.0,0.0,0.9999999857142859,0.9999999971428571,24500.0,4.999999928571429,24500.0,4.999999928571429,0,1,0
random3sat_bulk25.cnf,DPLL,80.0,350.0,0.0025,UNSAT,WalkSAT_Optimized,80.0,350.0,UNSAT,0.2757,4.374999945312501,4.374999945312501,0.0,0.0,0.9999999875000002,0.9999999971428571,28000.0,4.374999945312501,28000.0,4.374999945312501,0,1,0
random3sat_bulk26.cnf,DPLL,50.0,300.0,0.0023,UNSAT,WalkSAT_Optimized,50.0,300.0,UNSAT,0.3724,5.9999998800000025,5.9999998800000025,0.0,0.0,0.9999999800000005,0.9999999966666667,15000.0,5.9999998800000025,15000.0,5.9999998800000025,0,1,0
random3sat_bulk27.cnf,DPLL,100.0,350.0,0.0023,SAT,WalkSAT_Optimized,100.0,350.0,SAT,0.0103,3.4999999650000007,3.4999999650000007,0.0,0.0,0.9999999900000002,0.9999999971428571,35000.0,3.4999999650000007,35000.0,3.4999999650000007,0,1,0
random3sat_bulk28.cnf,DPLL,90.0,200.0,0.0,SAT,WalkSAT_Optimized,90.0,200.0,SAT,0.0025,2.2222221975308645,2.2222221975308645,0.0,0.0,0.9999999888888891,0.999999995,18000.0,2.2222221975308645,18000.0,2.2222221975308645,0,1,0
random3sat_bulk3.cnf,DPLL,50.0,350.0,0.0015,UNSAT,WalkSAT_Optimized,50.0,350.0,UNSAT,0.2969,6.9999998600000035,6.9999998600000035,0.0,0.0,0.9999999800000005,0.9999999971428571,17500.0,6.9999998600000035,17500.0,6.9999998600000035,0,1,0
random3sat_bulk29.cnf,DPLL,90.0,400.0,0.0015,UNSAT,WalkSAT_Optimized,90.0,400.0,UNSAT,0.1851,4.444444395061729,4.444444395061729,0.0,0.0,0.9999999888888891,0.9999999975,36000.0,4.444444395061729,36000.0,4.444444395061729,0,1,0
random3sat_bulk30.cnf,DPLL,100.0,350.0,0.0,SAT,WalkSAT_Optimized,100.0,350.0,SAT,0.0145,3.4999999650000007,3.4999999650000007,0.0,0.0,0.9999999900000002,0.9999999971428571,35000.0,3.4999999650000007,35000.0,3.4999999650000007,0,1,0
random3sat_bulk31.cnf,DPLL,70.0,200.0,0.0034,SAT,WalkSAT_Optimized,70.0,200.0,SAT,0.0033,2.8571428163265313,2.8571428163265313,0.0,0.0,0.9999999857142859,0.999999995,14000.0,2.8571428163265313,14000.0,2.8571428163265313,0,1,1
random3sat_bulk33.cnf,DPLL,100.0,200.0,0.001,SAT,WalkSAT_Optimized,100.0,200.0,SAT,0.0012,1.9999999800000003,1.9999999800000003,0.0,0.0,0.9999999900000002,0.999999995,20000.0,1.9999999800000003,20000.0,1.9999999800000003,0,1,0
