instance,solver,num_vars,num_clauses,result
random3sat_bulk81.cnf,WalkSAT_Optimized,60,400,UNSAT
random3sat_bulk84.cnf,WalkSAT_Optimized,80,300,UNSAT
random3sat_bulk87.cnf,WalkSAT_Optimized,100,300,SAT
random3sat_bulk83.cnf,WalkSAT_Optimized,50,400,UNSAT
random3sat_bulk89.cnf,WalkSAT_Optimized,90,350,SAT
random3sat_bulk85.cnf,WalkSAT_Optimized,50,350,UNSAT
random3sat_bulk90.cnf,WalkSAT_Optimized,80,200,SAT
random3sat_bulk91.cnf,WalkSAT_Optimized,70,250,SAT
random3sat_bulk86.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_bulk88.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_bulk94.cnf,WalkSAT_Optimized,100,200,SAT
random3sat_bulk9.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_bulk96.cnf,WalkSAT_Optimized,100,350,SAT
random3sat_bulk97.cnf,WalkSAT_Optimized,90,300,SAT
random3sat_bulk93.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_bulk95.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_bulk99.cnf,WalkSAT_Optimized,50,200,SAT
random3sat_realistic_10.cnf,WalkSAT_Optimized,100,300,SAT
random3sat_bulk92.cnf,WalkSAT_Optimized,50,400,UNSAT
random3sat_realistic_100.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_bulk98.cnf,WalkSAT_Optimized,60,350,UNSAT
random3sat_realistic_1000.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_1.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_102.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_101.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_103.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_104.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_105.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_109.cnf,WalkSAT_Optimized,50,150,SAT
random3sat_realistic_108.cnf,WalkSAT_Optimized,150,450,UNSAT
random3sat_realistic_107.cnf,WalkSAT_Optimized,90,450,UNSAT
random3sat_realistic_106.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_111.cnf,WalkSAT_Optimized,50,150,UNSAT
random3sat_realistic_110.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_11.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_112.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_114.cnf,WalkSAT_Optimized,90,270,UNSAT
random3sat_realistic_113.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_116.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_115.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_117.cnf,WalkSAT_Optimized,100,400,UNSAT
random3sat_realistic_118.cnf,WalkSAT_Optimized,50,150,UNSAT
random3sat_realistic_119.cnf,WalkSAT_Optimized,90,270,UNSAT
random3sat_realistic_12.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_120.cnf,WalkSAT_Optimized,100,500,UNSAT
random3sat_realistic_121.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_122.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_124.cnf,WalkSAT_Optimized,50,150,UNSAT
random3sat_realistic_126.cnf,WalkSAT_Optimized,50,200,SAT
random3sat_realistic_123.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_125.cnf,WalkSAT_Optimized,90,450,UNSAT
random3sat_realistic_127.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_129.cnf,WalkSAT_Optimized,100,500,UNSAT
random3sat_realistic_13.cnf,WalkSAT_Optimized,100,300,UNSAT
random3sat_realistic_128.cnf,WalkSAT_Optimized,150,900,UNSAT
random3sat_realistic_130.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_132.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_realistic_133.cnf,WalkSAT_Optimized,90,450,UNSAT
random3sat_realistic_131.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_134.cnf,WalkSAT_Optimized,120,600,UNSAT
random3sat_realistic_135.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_137.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_14.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_136.cnf,WalkSAT_Optimized,120,600,UNSAT
random3sat_realistic_138.cnf,WalkSAT_Optimized,80,240,UNSAT
random3sat_realistic_139.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_140.cnf,WalkSAT_Optimized,70,280,UNSAT
random3sat_realistic_142.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_143.cnf,WalkSAT_Optimized,90,270,UNSAT
random3sat_realistic_141.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_144.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_146.cnf,WalkSAT_Optimized,80,320,UNSAT
random3sat_realistic_145.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_147.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_148.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_151.cnf,WalkSAT_Optimized,120,360,SAT
random3sat_realistic_149.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_15.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_152.cnf,WalkSAT_Optimized,70,280,UNSAT
random3sat_realistic_150.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_153.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_154.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_158.cnf,WalkSAT_Optimized,50,150,SAT
random3sat_realistic_156.cnf,WalkSAT_Optimized,100,400,UNSAT
random3sat_realistic_155.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_157.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_161.cnf,WalkSAT_Optimized,50,150,SAT
random3sat_realistic_16.cnf,WalkSAT_Optimized,80,320,UNSAT
