instance,solver,num_vars,num_clauses,result,runtime_seconds
random3sat_bulk67.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2181
random3sat_bulk69.cnf,WalkSAT_Optimized,90,350,UNSAT,0.1808
random3sat_bulk71.cnf,WalkSAT_Optimized,70,350,UNSAT,0.213
random3sat_bulk76.cnf,WalkSAT_Optimized,80,300,SAT,0.1163
random3sat_bulk79.cnf,WalkSAT_Optimized,90,200,SAT,0.0029
random3sat_bulk77.cnf,WalkSAT_Optimized,80,350,UNSAT,0.1877
random3sat_bulk78.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2206
random3sat_bulk75.cnf,WalkSAT_Optimized,50,350,UNSAT,0.3119
random3sat_bulk8.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2595
random3sat_bulk80.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2004
random3sat_bulk82.cnf,WalkSAT_Optimized,50,200,SAT,0.1062
random3sat_bulk84.cnf,WalkSAT_Optimized,80,300,SAT,0.0489
random3sat_bulk81.cnf,WalkSAT_Optimized,60,400,UNSAT,0.2903
random3sat_bulk87.cnf,WalkSAT_Optimized,100,300,SAT,0.0045
random3sat_bulk83.cnf,WalkSAT_Optimized,50,400,UNSAT,0.3597
random3sat_bulk85.cnf,WalkSAT_Optimized,50,350,UNSAT,0.3343
random3sat_bulk86.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2843
random3sat_bulk90.cnf,WalkSAT_Optimized,80,200,SAT,0.0026
random3sat_bulk89.cnf,WalkSAT_Optimized,90,350,SAT,0.0371
random3sat_bulk91.cnf,WalkSAT_Optimized,70,250,SAT,0.0489
random3sat_bulk88.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2291
random3sat_bulk94.cnf,WalkSAT_Optimized,100,200,SAT,0.001
random3sat_bulk9.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2209
random3sat_bulk96.cnf,WalkSAT_Optimized,100,350,SAT,0.0118
random3sat_bulk97.cnf,WalkSAT_Optimized,90,300,SAT,0.0057
random3sat_bulk93.cnf,WalkSAT_Optimized,80,400,UNSAT,0.21
random3sat_bulk95.cnf,WalkSAT_Optimized,80,400,UNSAT,0.2167
random3sat_bulk99.cnf,WalkSAT_Optimized,50,200,SAT,0.006
random3sat_bulk92.cnf,WalkSAT_Optimized,50,400,UNSAT,0.3807
random3sat_realistic_10.cnf,WalkSAT_Optimized,100,300,SAT,0.0862
random3sat_bulk98.cnf,WalkSAT_Optimized,60,350,UNSAT,0.2915
random3sat_realistic_100.cnf,WalkSAT_Optimized,60,180,UNSAT,0.1529
random3sat_realistic_1.cnf,WalkSAT_Optimized,70,420,UNSAT,0.3251
random3sat_realistic_1000.cnf,WalkSAT_Optimized,60,240,UNSAT,0.1792
random3sat_realistic_102.cnf,WalkSAT_Optimized,70,350,UNSAT,0.2096
random3sat_realistic_101.cnf,WalkSAT_Optimized,80,480,UNSAT,0.3114
random3sat_realistic_103.cnf,WalkSAT_Optimized,60,300,UNSAT,0.235
random3sat_realistic_104.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2791
random3sat_realistic_105.cnf,WalkSAT_Optimized,90,540,UNSAT,0.2601
random3sat_realistic_107.cnf,WalkSAT_Optimized,90,450,UNSAT,0.2293
random3sat_realistic_106.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2486
random3sat_realistic_109.cnf,WalkSAT_Optimized,50,150,SAT,0.0031
random3sat_realistic_108.cnf,WalkSAT_Optimized,150,450,SAT,0.1712
random3sat_realistic_111.cnf,WalkSAT_Optimized,50,150,UNSAT,0.1369
random3sat_realistic_110.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1604
random3sat_realistic_11.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2329
random3sat_realistic_112.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1434
random3sat_realistic_114.cnf,WalkSAT_Optimized,90,270,UNSAT,0.1254
random3sat_realistic_113.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2375
random3sat_realistic_116.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1701
random3sat_realistic_115.cnf,WalkSAT_Optimized,70,350,UNSAT,0.2161
random3sat_realistic_117.cnf,WalkSAT_Optimized,100,400,UNSAT,0.1723
random3sat_realistic_118.cnf,WalkSAT_Optimized,50,150,UNSAT,0.1185
random3sat_realistic_119.cnf,WalkSAT_Optimized,90,270,UNSAT,0.1551
random3sat_realistic_12.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1783
random3sat_realistic_120.cnf,WalkSAT_Optimized,100,500,UNSAT,0.2323
random3sat_realistic_121.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2392
random3sat_realistic_124.cnf,WalkSAT_Optimized,50,150,UNSAT,0.1375
random3sat_realistic_122.cnf,WalkSAT_Optimized,100,600,UNSAT,0.2995
random3sat_realistic_126.cnf,WalkSAT_Optimized,50,200,SAT,0.0042
random3sat_realistic_123.cnf,WalkSAT_Optimized,70,420,UNSAT,0.2627
random3sat_realistic_125.cnf,WalkSAT_Optimized,90,450,UNSAT,0.2554
random3sat_realistic_127.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1929
random3sat_realistic_129.cnf,WalkSAT_Optimized,100,500,UNSAT,0.2246
random3sat_realistic_13.cnf,WalkSAT_Optimized,100,300,UNSAT,0.1198
random3sat_realistic_128.cnf,WalkSAT_Optimized,150,900,UNSAT,0.3472
random3sat_realistic_132.cnf,WalkSAT_Optimized,60,180,UNSAT,0.1148
random3sat_realistic_130.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1976
random3sat_realistic_131.cnf,WalkSAT_Optimized,90,540,UNSAT,0.3359
random3sat_realistic_133.cnf,WalkSAT_Optimized,90,450,UNSAT,0.2314
random3sat_realistic_134.cnf,WalkSAT_Optimized,120,600,UNSAT,0.2552
random3sat_realistic_135.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2835
random3sat_realistic_137.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1366
random3sat_realistic_14.cnf,WalkSAT_Optimized,90,270,SAT,0.0091
random3sat_realistic_138.cnf,WalkSAT_Optimized,80,240,UNSAT,0.1343
