instance,solver,num_vars,num_clauses,runtime_seconds,result
random3sat_bulk93.cnf,DPLL,80,400,0.001,UNSAT
random3sat_bulk94.cnf,DPLL,100,200,0.001,SAT
random3sat_bulk95.cnf,DPLL,80,400,0.001,UNSAT
random3sat_bulk96.cnf,DPLL,100,350,0.001,SAT
random3sat_bulk97.cnf,DPLL,90,300,0.0015,SAT
random3sat_bulk99.cnf,DPLL,50,200,0.001,SAT
random3sat_bulk98.cnf,DPLL,60,350,0.001,UNSAT
random3sat_realistic_1.cnf,DPLL,70,420,0.0,UNSAT
random3sat_realistic_10.cnf,DPLL,100,300,0.0024,SAT
random3sat_realistic_1000.cnf,DPLL,60,240,0.0024,UNSAT
random3sat_realistic_100.cnf,DPLL,60,180,0.0024,UNSAT
random3sat_realistic_101.cnf,DPLL,80,480,0.0,UNSAT
random3sat_realistic_102.cnf,DPLL,70,350,0.0012,UNSAT
random3sat_realistic_103.cnf,DPLL,60,300,0.0,UNSAT
random3sat_realistic_104.cnf,DPLL,60,360,0.0,UNSAT
random3sat_realistic_105.cnf,DPLL,90,540,0.0,UNSAT
random3sat_realistic_107.cnf,DPLL,90,450,0.0,UNSAT
random3sat_realistic_106.cnf,DPLL,80,480,0.0,UNSAT
random3sat_realistic_108.cnf,DPLL,150,450,0.0026,SAT
random3sat_realistic_109.cnf,DPLL,50,150,0.0,SAT
random3sat_realistic_110.cnf,DPLL,90,360,0.0025,UNSAT
random3sat_realistic_111.cnf,DPLL,50,150,0.0035,UNSAT
random3sat_realistic_11.cnf,DPLL,150,750,0.003,UNSAT
random3sat_realistic_112.cnf,DPLL,120,360,0.002,UNSAT
random3sat_realistic_113.cnf,DPLL,60,300,0.001,UNSAT
random3sat_realistic_115.cnf,DPLL,70,350,0.001,UNSAT
random3sat_realistic_116.cnf,DPLL,120,480,0.001,UNSAT
random3sat_realistic_117.cnf,DPLL,100,400,0.001,UNSAT
random3sat_realistic_119.cnf,DPLL,90,270,0.0,SAT
random3sat_realistic_12.cnf,DPLL,90,360,0.0,UNSAT
random3sat_realistic_123.cnf,DPLL,70,420,0.0032,UNSAT
random3sat_realistic_120.cnf,DPLL,100,500,0.0077,UNSAT
random3sat_realistic_122.cnf,DPLL,100,600,0.0065,UNSAT
random3sat_realistic_121.cnf,DPLL,150,750,0.0085,UNSAT
random3sat_realistic_124.cnf,DPLL,50,150,0.006,UNSAT
random3sat_realistic_125.cnf,DPLL,90,450,0.003,UNSAT
random3sat_realistic_126.cnf,DPLL,50,200,0.003,SAT
random3sat_realistic_128.cnf,DPLL,150,900,0.0015,UNSAT
random3sat_realistic_127.cnf,DPLL,120,480,0.0015,UNSAT
random3sat_realistic_129.cnf,DPLL,100,500,0.0,UNSAT
random3sat_realistic_13.cnf,DPLL,100,300,0.001,UNSAT
random3sat_realistic_130.cnf,DPLL,90,360,0.0014,UNSAT
random3sat_realistic_132.cnf,DPLL,60,180,0.001,UNSAT
random3sat_realistic_133.cnf,DPLL,90,450,0.0036,UNSAT
random3sat_realistic_135.cnf,DPLL,60,360,0.0,UNSAT
random3sat_realistic_134.cnf,DPLL,120,600,0.005,UNSAT
random3sat_realistic_136.cnf,DPLL,120,600,0.002,UNSAT
random3sat_realistic_138.cnf,DPLL,80,240,0.002,UNSAT
random3sat_realistic_14.cnf,DPLL,90,270,0.001,SAT
random3sat_realistic_140.cnf,DPLL,70,280,0.001,UNSAT
random3sat_realistic_139.cnf,DPLL,120,480,0.0025,UNSAT
random3sat_realistic_143.cnf,DPLL,90,270,0.0,SAT
AT
random3sat_realistic_142.cnf,DPLL,120,360,0.001,SAT
random3sat_realistic_144.cnf,DPLL,50,300,0.001,UNSAT
random3sat_realistic_146.cnf,DPLL,80,320,0.0,UNSAT

random3sat_realistic_147.cnf,DPLL,60,360,0.0,UNSAT
random3sat_realistic_148.cnf,DPLL,120,480,0.001,UNSAT
random3sat_realistic_149.cnf,DPLL,50,300,0.001,UNSAT
random3sat_realistic_15.cnf,DPLL,100,600,0.0013,UNSAT
random3sat_realistic_150.cnf,DPLL,120,720,0.0013,UNSAT
random3sat_realistic_151.cnf,DPLL,120,360,0.0003,SAT
random3sat_realistic_153.cnf,DPLL,120,480,0.001,UNSAT
random3sat_realistic_152.cnf,DPLL,70,280,0.001,UNSAT
random3sat_realistic_154.cnf,DPLL,100,600,0.001,UNSAT
random3sat_realistic_155.cnf,DPLL,90,540,0.0025,UNSAT
random3sat_realistic_156.cnf,DPLL,100,400,0.0,UNSAT
random3sat_realistic_158.cnf,DPLL,50,150,0.001,SAT
random3sat_realistic_157.cnf,DPLL,60,360,0.001,UNSAT
random3sat_realistic_16.cnf,DPLL,80,320,0.001,UNSAT

random3sat_realistic_159.cnf,DPLL,120,720,0.001,UNSAT
random3sat_realistic_161.cnf,DPLL,50,150,0.0,SAT
random3sat_realistic_162.cnf,DPLL,60,300,0.001,UNSAT
random3sat_realistic_163.cnf,DPLL,60,360,0.0,UNSAT
random3sat_realistic_164.cnf,DPLL,60,180,0.001,UNSAT
random3sat_realistic_165.cnf,DPLL,90,360,0.001,UNSAT
random3sat_realistic_168.cnf,DPLL,80,480,0.001,UNSAT
random3sat_realistic_169.cnf,DPLL,50,150,0.001,SAT
T
random3sat_realistic_166.cnf,DPLL,100,300,0.0,SAT
random3sat_realistic_170.cnf,DPLL,50,150,0.001,SAT

random3sat_realistic_171.cnf,DPLL,120,360,0.0,SAT
random3sat_realistic_172.cnf,DPLL,100,500,0.0,UNSAT
random3sat_realistic_174.cnf,DPLL,150,600,0.002,UNSAT
random3sat_realistic_175.cnf,DPLL,120,360,0.0,SAT
random3sat_realistic_176.cnf,DPLL,80,480,0.0,UNSAT
random3sat_realistic_178.cnf,DPLL,80,480,0.0015,UNSAT
random3sat_realistic_177.cnf,DPLL,80,480,0.0,UNSAT
random3sat_realistic_18.cnf,DPLL,90,360,0.0,UNSAT
random3sat_realistic_179.cnf,DPLL,150,750,0.0,UNSAT
random3sat_realistic_181.cnf,DPLL,120,360,0.0041,UNSAT
random3sat_realistic_180.cnf,DPLL,70,420,0.0041,UNSAT
random3sat_realistic_183.cnf,DPLL,50,200,0.0023,UNSAT
random3sat_realistic_182.cnf,DPLL,90,360,0.0023,UNSAT
random3sat_realistic_185.cnf,DPLL,60,240,0.0,UNSAT
random3sat_realistic_184.cnf,DPLL,150,450,0.0037,SAT
random3sat_realistic_187.cnf,DPLL,50,150,0.0013,UNSAT
random3sat_realistic_188.cnf,DPLL,90,270,0.001,SAT
random3sat_realistic_186.cnf,DPLL,100,400,0.001,UNSAT
random3sat_realistic_189.cnf,DPLL,50,200,0.0,UNSAT
random3sat_realistic_19.cnf,DPLL,120,600,0.0,UNSAT
random3sat_realistic_190.cnf,DPLL,70,210,0.001,SAT
random3sat_realistic_191.cnf,DPLL,120,480,0.0013,UNSAT
random3sat_realistic_192.cnf,DPLL,90,360,0.0,UNSAT
random3sat_realistic_193.cnf,DPLL,70,280,0.001,UNSAT
random3sat_realistic_194.cnf,DPLL,120,480,0.0,UNSAT
random3sat_realistic_195.cnf,DPLL,50,250,0.001,UNSAT
random3sat_realistic_198.cnf,DPLL,50,250,0.0,UNSAT
random3sat_realistic_197.cnf,DPLL,60,180,0.002,UNSAT
random3sat_realistic_196.cnf,DPLL,120,720,0.0035,UNSAT
random3sat_realistic_199.cnf,DPLL,80,480,0.004,UNSAT
random3sat_realistic_20.cnf,DPLL,150,750,0.001,UNSAT
random3sat_realistic_2.cnf,DPLL,80,320,0.003,SAT
random3sat_realistic_201.cnf,DPLL,80,480,0.001,UNSAT
random3sat_realistic_200.cnf,DPLL,150,900,0.001,UNSAT
